url,name
https://novosibirsk.hh.ru/vacancy/67822831,Оператор по тестированию комплектующих (компьютеры)
https://novosibirsk.hh.ru/vacancy/69568337,QA специалист (SberInfra)
https://novosibirsk.hh.ru/vacancy/69247315,QA-инженер
https://novosibirsk.hh.ru/vacancy/69557475,Тестировщик ПО
https://novosibirsk.hh.ru/vacancy/55388198,Инженер по валидации (document validation engineer)
https://novosibirsk.hh.ru/vacancy/68852138,QA Lead специалист / тестировщик (Ульяновск)
https://novosibirsk.hh.ru/vacancy/69405341,QA Engineer
https://novosibirsk.hh.ru/vacancy/69764223,Тестировщик ПО (Middle)
https://novosibirsk.hh.ru/vacancy/68731882,QA Engineer
https://novosibirsk.hh.ru/vacancy/69530356,Тестировщик ПО (стажер)
https://novosibirsk.hh.ru/vacancy/69611164,QA Lead
https://novosibirsk.hh.ru/vacancy/69712648,QA Engineer
https://novosibirsk.hh.ru/vacancy/68996031,Специалист по тестированию ПО
https://novosibirsk.hh.ru/vacancy/67853800,Специалист по тестированию ПО (Middle QA Engineer)
https://novosibirsk.hh.ru/vacancy/68958756,Инженер тестирования (удаленно)
https://novosibirsk.hh.ru/vacancy/68969198,Software Testing Engineer / QA Engineer (Realtime systems)
https://novosibirsk.hh.ru/vacancy/69294272,QA Engineer (manual)
https://novosibirsk.hh.ru/vacancy/69672049,QA engineer (middle)
https://novosibirsk.hh.ru/vacancy/68212042,QA (middle и выше)
https://novosibirsk.hh.ru/vacancy/69156790,Тестировщик (QA manual)
https://novosibirsk.hh.ru/vacancy/69196318,QA Engineer (Ручное тестирование) - Middle
https://novosibirsk.hh.ru/vacancy/50874180,QA инженер
https://novosibirsk.hh.ru/vacancy/55867460,Senior AQA (Python)
https://novosibirsk.hh.ru/vacancy/66677428,QA Automation Engineer (Web)
https://novosibirsk.hh.ru/vacancy/68583522,Тестировщик ПО
https://novosibirsk.hh.ru/vacancy/69528428,Функциональный тестировщик АБС ЦФТ
https://novosibirsk.hh.ru/vacancy/69351368,Младший специалист по тестированию на проникновение/Junior pentester
https://novosibirsk.hh.ru/vacancy/68925658,Senior QA Engineer (SWAT)
